Apple to hold an event on Sept. 15,2020-09-08 15:24:53+00:00,0.93,Apple,to hold,an event on Sept
Apple plans to increase dividend - CNBC,2021-02-23 18:33:11+00:00,0.94,Apple,plans,to increase dividend  CNBC
Apple revises App Store guidelines,2020-09-11 17:22:27+00:00,0.93,Apple,revises,App Store guidelines
Hyundai wrestles with the risks of embracing Apple,2021-01-29 05:35:53+00:00,0.93,Hyundai,wrestles,with the risks of embracing Apple
"Apple expected to unveil updates to Watches, iPads",2020-09-14 15:53:30+00:00,0.92,Apple,expected to unveil,updates
Apple launches AirPods Max priced at $549,2020-12-08 13:33:33+00:00,0.93,Apple,launches,AirPods Max
Apple prevails against radiation exposure lawsuit,2020-10-30 19:23:12+00:00,0.92,Apple,prevails,against radiation exposure lawsuit
Apple extends concession on store fees for some apps,2020-11-23 20:35:02+00:00,0.92,Apple,extends,concession on store fees for some apps
Apple invites media for Nov. 10 special event,2020-11-02 17:15:23+00:00,0.93,Apple,invites,media
Apple says all U.S. stores open,2021-03-01 15:31:52+00:00,0.93,Apple,says,all U.S. stores open
Apple to lower App Store fees for smaller developers,2020-11-18 11:01:03+00:00,0.93,Apple,to lower,App Store fees
Apple launches its contactless payment service in S.Africa,2021-03-30 19:31:32+00:00,0.88,Apple,launches,its contactless payment service in S.Africa
Apple prevails in 'judge-shopping' fight against Uniloc,2020-11-09 23:02:42+00:00,0.93,Apple,prevails,in 'judgeshopping' fight against Uniloc
Apple starts iPhone 12 assembly in India,2021-03-11 10:13:19+00:00,1.0,Apple,starts,assembly
FOCUS-Hyundai wrestles with the risks of embracing Apple,2021-01-29 05:32:42+00:00,0.9,FOCUSHyundai,wrestles,with the risks of embracing Apple
"Malala partners with Apple to produce dramas, comedies, documentaries",2021-03-08 15:20:10+00:00,0.94,Malala partners with Apple,to produce,dramas comedies documentaries
Volkswagen CEO Diess 'not afraid' of an Apple electric car,2021-02-14 14:07:17+00:00,0.88,Diess,[is] CEO [of],Volkswagen
Apple positioned to offer cryptocurrencies: RBC report,2021-02-08 22:11:08+00:00,0.92,Apple,positioned,to offer cryptocurrencies
Apple's stock market value tops $2 trillion,2020-08-19 14:57:40+00:00,1.0,Apple 's stock market value,tops,$  trillion
Apple terminates Epic Games' account on App Store,2020-08-28 21:17:01+00:00,0.93,Apple,terminates,Epic Games' account on App Store
Facebook critiques Apple on its commission system,2020-08-14 19:27:47+00:00,0.88,Facebook,critiques,Apple
Russia says Apple breached regulations on mobile apps,2020-08-10 15:57:33+00:00,0.92,Russia,says,Apple breached regulations on mobile apps
Apple briefly tops $2 trillion in market value,2020-08-19 14:52:28+00:00,1.0,Apple,tops,$  trillion
Apple to extend some free subscription to video-streaming service through February,2020-10-08 23:06:57+00:00,0.91,Apple,to extend some free subscription to videostreaming,service
Apple loses copyright claims in lawsuit against U.S. security bug startup,2020-12-29 21:30:38+00:00,0.93,Apple,loses,copyright claims
"Apple announces 'speed' event next week, new iPhones expected",2020-10-06 16:09:41+00:00,0.91,Apple,announces,speed
Jury tells Apple to pay $308.5 mln for patent infringement,2021-03-20 02:22:07+00:00,0.95,Jury,tells,Apple
Apple removes Fortnite game from App Store,2020-08-13 19:46:25+00:00,0.93,Apple,removes,Fortnite game
"Apple to hold Nov 10 event, analysts expect new Mac computers",2020-11-02 17:43:44+00:00,0.93,Apple,to hold,Nov  event
Apple says Pegatron put on probation after violating supplier code of conduct,2020-11-09 05:35:03+00:00,0.94,Apple,says,Pegatron put on probation after violating supplier code of conduct
Spotify criticizes new Apple services bundle on antitrust grounds,2020-09-15 20:34:19+00:00,0.93,Spotify,criticizes,new Apple services
Apple is sued by rival over alleged App Store monopoly,2020-12-10 19:57:49+00:00,0.93,Apple,is sued,by rival
Apple says no new business for supplier Wistron after India plant violence,2020-12-19 09:34:47+00:00,0.92,Apple,says,no new business for supplier
"Apple to set up silicon design centre in Germany, invest $1.2 billion",2021-03-10 11:11:24+00:00,0.93,Apple,to set up,silicon design centre
Apple says it has no interest in buying TikTok,2020-08-04 16:06:57+00:00,0.86,Apple,says,it has no interest in buying TikTok
Google adds Apple's TV app to latest Chromecast device,2021-02-18 18:13:49+00:00,0.95,Google,adds,Apple's TV app
Apple plans to launch new podcast subscription service: The Information,2021-01-15 17:55:56+00:00,0.92,Apple,plans,to launch new podcast subscription service
"Apple says some users facing issues with App Store, Music, TV+",2020-09-22 15:39:46+00:00,0.9,some users,facing,issues
"Apple announces date of special event, new iPhones expected",2020-10-06 16:06:13+00:00,0.92,Apple,announces,date of special event
Apple to build battery-based solar energy storage project in California,2021-03-31 13:06:20+00:00,0.93,Apple,to build,batterybased solar energy storage project
Exclusive: Apple faces EU charges over Spotify complaint - sources,2021-03-04 16:09:45+00:00,0.93,Apple,faces,EU charges over Spotify complaint  sources
Pandemic-proof Apple to kick off lineup for critical holiday season,2020-09-15 08:00:13+00:00,0.94,Pandemicproof Apple,to kick off,lineup
Google Chromecast users to get access to Apple TV services next year,2020-12-16 19:36:14+00:00,0.94,Google Chromecast users,to get,access to Apple TV services
Dutch competition regulators nearing draft decision in Apple investigation,2021-02-25 21:56:46+00:00,0.93,Dutch competition regulators,nearing,draft decision
Musk tweets he reached out to Apple's Tim Cook for acquiring Tesla,2020-12-22 21:27:11+00:00,0.91,Musk tweets,reached,out
Facebook accuses Apple of anticompetitive behavior over privacy changes,2020-12-16 17:43:06+00:00,0.93,Facebook,accuses,Apple
Apple's stock split may not be good for the Dow,2020-07-30 23:40:04+00:00,0.84,Apple's stock split,may not be,good
"Apple event expected to bring 5G speed, smaller iPhone 12",2020-10-13 11:01:19+00:00,0.91,Apple event,expected to bring,G speed
Apple shares rise on report of 2024 car rollout plan,2020-12-22 13:22:11+00:00,0.93,Apple shares,rise,on report of  car rollout plan
Apple says new privacy notifications to roll out in 'early spring',2021-01-28 05:15:02+00:00,0.94,Apple,says,new privacy notifications to roll out in 'early spring
